Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
CAMPO MOURÃO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;1;5
CÂNDIDO DE ABREU;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;0;2
CANTAGALO;Juízo Único;1;5;1;7
CAPANEMA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;3;0;3
CAPITÃO LEÔNIDAS MARQUES;Juízo Único;0;6;0;6
CARLÓPOLIS;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;1;5
CASCAVEL;4ª Vara Cível;0;0;0;0
CASCAVEL;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;0;0;0;0
CASCAVEL;2ª Vara Criminal;0;0;0;0
CASCAVEL;3ª Vara Criminal;1;2;0;3
CASCAVEL;Vara da Infância e Juventude;2;5;1;8
CASCAVEL;1º Juizado Especial Cível, Criminal e da Fazenda Pública;0;6;0;6
CASCAVEL;1ª Vara Criminal;1;4;0;5
CASCAVEL;1ª Vara de Família e Sucessões, Registros Públicos e Corregedoria do Foro Extrajudicial;1;5;1;7
CASCAVEL;5ª Vara Cível;2;4;1;7
CASCAVEL;2ª Vara de Família e Sucessões e Acidentes do Trabalho;2;5;1;8
CASCAVEL;2º Juizado Especial Cível, Criminal e da Fazenda Pública;0;8;0;8
CASCAVEL;3º Juizado Especial Cível, Criminal e da Fazenda Pública;0;7;1;8
CASCAVEL;Vara de Execuções Penais e Corregedoria dos Presídios;0;7;0;7
CASCAVEL;4ª Vara Criminal;1;6;0;7
CASCAVEL;Vara da Fazenda Pública;1;7;0;8
CASTRO;Vara Criminal;0;1;0;1
CASTRO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
CASTRO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;0;4
CASTRO;Distribuidor, Contador, Partidor, Avaliador e Depositário Público;0;0;0;0
CATANDUVAS;Juízo Único;0;5;0;5
CENTENÁRIO DO SUL;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;1;5
CERRO AZUL;Juízo Único - Crime e Anexos, Juizados Especiais e Distribuidor;1;4;0;5
CHOPINZINHO;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
CIANORTE;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;2;0;3
CIANORTE;2ª Vara Cível e da Fazenda Pública;1;4;0;5
CIANORTE;Vara Criminal;1;6;1;8
CIANORTE;Juizado Especial Cível, Criminal e da Fazenda Pública;1;8;0;9
CIDADE GAÚCHA;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
CLEVELÂNDIA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
COLOMBO;2ª Vara Cível;0;3;1;4
COLOMBO;Vara da Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;0;3;0;3
COLOMBO;1ª Vara Criminal;0;3;0;3
COLOMBO;Vara de Família e Sucessões;1;5;0;6
COLOMBO;Vara da Fazenda Pública;1;3;1;5
COLOMBO;2ª Vara Criminal;0;5;0;5
COLOMBO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;6;0;7
COLORADO;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
CONGONHINHAS;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
CORBÉLIA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
CORNÉLIO PROCÓPIO;Vara Criminal;0;4;0;4
